name,email,phone_number,user_id,pin_code
ABBY ANDRE TRUDALE,AABBY@COCA-COLA.COM,,,
ADAIR JAY,JAYADAIR@COCA-COLA.COM,,,
ADENODI ADEDEJI,AADENODI@COCA-COLA.COM,,,
ADKINS JONATHAN,JONADKINS@COCA-COLA.COM,,,
AKINS ERIC,ERAKINS@COCA-COLA.COM,,,
ALEXANDER PEARLIE,PEALEXANDER@COCA-COLA.COM,,,
ANDERSON DAN,DAN.ANDERSON@COCA-COLA.COM,,,
ARMSTRONG TRAVIS,TRAVIS.ARMSTRONG@COCA-COLA.COM,,,
AVANT FRANKLIN,FAVANT@COCA-COLA.COM,,,
BAKER GLENN,BIBAKER@COCA-COLA.COM,,,
BALDWIN THOMAS,THBALDWIN@COCA-COLA.COM,,,
BARKER PERNELL,PBARKER@COCA-COLA.COM,,,
BHARATH D'JON,DBHARATH@COCA-COLA.COM,,,
BIGGS AUNDERA,ABIGGS@COCA-COLA.COM,,,
BLASINGAME BOBBIEDEE,BBLASINGAME@COCA-COLA.COM,,,
BORNE HILTON,HBORNE@COCA-COLA.COM,,,
BORRAS PATINO PAULA,BORRASPATINO@COCA-COLA.COM,,,
BOTTOMS WILLIAM,WBOTTOMS@COCA-COLA.COM,,,
BOYD CERITA,CEBOYD@COCA-COLA.COM,,,
BRADFORD CURTIS,CBRADFORD@COCA-COLA.COM,,,
BRAXTON JIMMY,JBRAXTON@COCA-COLA.COM,,,
BROWNING KENNETH,KENBROWNING@COCA-COLA.COM,,,
BUSH TIMOTHY,TIBUSH@COCA-COLA.COM,,,
CALHOUN DIMETRI,DICALHOUN@COCA-COLA.COM,,,
CALHOUN RAYSHUN,RACALHOUN@COCA-COLA.COM,,,
CAMERON CONNELL,COCAMERON@COCA-COLA.COM,,,
CARSON CICELY,CICCARSON@COCA-COLA.COM,,,
CARTER CLENON E,CLCARTER@COCA-COLA.COM,,,
CARTER MICHAEL,MICHACARTER@COCA-COLA.COM,,,
CHANDLER JOSEPH,JOCHANDLER@COCA-COLA.COM,,,
CHARLES JAY,JACHARLES@COCA-COLA.COM,,,
CLARK JUSTIN A,JUSCLARK@COCA-COLA.COM,,,
CLINE RONNIE,RCLINE@COCA-COLA.COM,,,
COCHRAN DANNY,DCOCHRAN@COCA-COLA.COM,,,
COFER A.,ACOFER@COCA-COLA.COM,,,
COLEY THOMAS,THCOLEY@COCA-COLA.COM,,,
COLLORA DAN,DCOLLORA@COCA-COLA.COM,,,
COLSON ODESSA,OCOLSON@COCA-COLA.COM,,,
COPELAND WILLIE,WICOPELAND@COCA-COLA.COM,,,
CORNELIUS DAMIEN,DACORNELIUS@COCA-COLA.COM,,,
CROWTHER KENDAL,KENDCROWTHER@COCA-COLA.COM,,,
DANIELS MICHAEL,MICDANIELS@COCA-COLA.COM,,,
DAVIS LANIER,LANDAVIS@COCA-COLA.COM,,,
DAVIS WILLIE,WIDAVIS@COCA-COLA.COM,,,
DAYS JOSEPH,JDAYS@COCA-COLA.COM,,,
DIAMOND JABARI,JDIAMOND@COCA-COLA.COM,,,
DIXON GLEN,GDIXON@COCA-COLA.COM,,,
DORSEY RONNIE,RODORSEY@COCA-COLA.COM,,,
DOUGLAS ROBERT,RODOUGLAS@COCA-COLA.COM,,,
DOWDY WILLIAM,WDOWDY@COCA-COLA.COM,,,
DRAKE DARRY,DADRAKE@COCA-COLA.COM,,,
DUGARTE RENE,RDUGARTE@COCA-COLA.COM,,,
DUKES LEIGH A.,LDUKES@COCA-COLA.COM,,,
ECHOLS ISAIAH,IECHOLS@COCA-COLA.COM,,,
ENYART LESTER JOSEPH,LENYART@COCA-COLA.COM,,,
FLANNERY CORY,CFLANNERY@COCA-COLA.COM,,,
FRASER DAYNE,DAYFRASER@COCA-COLA.COM,,,
FUQUA ERIC CHARLES,EFUQUA@COCA-COLA.COM,,,
GADSON JOCELYN,JOGADSON@COCA-COLA.COM,,,
GARBA MUSTAPHA B,MUGARBA@COCA-COLA.COM,,,
GARNER-HAYLES HEATHER,HHAYLES@COCA-COLA.COM,,,
GREEN WILLIE,WILGREEN@COCA-COLA.COM,,,
HALE ROBERT,RHALE@COCA-COLA.COM,,,
HALL CEDRIC,CEHALL@COCA-COLA.COM,,,
